Customer_ID,Cluster,Segment
0229-LFJAF,1,Loyal Premium Customers
0230-UBYPQ,0,Loyal Budget Customers
0230-WEQUW,1,Loyal Premium Customers
0231-LXVAP,3,Established Standard Customers
0233-FTHAV,1,Loyal Premium Customers
0234-TEVTT,1,Loyal Premium Customers
0235-KGSLC,3,Established Standard Customers
0236-HFWSV,3,Established Standard Customers
0237-YFUTL,1,Loyal Premium Customers
0238-WHBIQ,1,Loyal Premium Customers
0239-OXEXL,3,Established Standard Customers
0244-LGNFY,1,Loyal Premium Customers
0247-SLUJI,2,New Budget Customers
0248-IPDFW,2,New Budget Customers
0248-PGHBZ,1,Loyal Premium Customers
0253-ZTEOB,1,Loyal Premium Customers
0254-FNMCI,1,Loyal Premium Customers
0254-KCJGT,1,Loyal Premium Customers
0254-WWRKD,0,Loyal Budget Customers
0256-LTHVJ,3,Established Standard Customers
0257-KXZGU,3,Established Standard Customers
0257-ZESQC,3,Established Standard Customers
0258-NOKBL,3,Established Standard Customers
0259-GBZSH,3,Established Standard Customers
0260-ZDLGK,3,Established Standard Customers
0263-FJTQO,1,Loyal Premium Customers
0264-CNITK,0,Loyal Budget Customers
0265-EDXBD,3,Established Standard Customers
0265-PSUAE,3,Established Standard Customers
0266-CLZKZ,1,Loyal Premium Customers
0266-GMEAO,1,Loyal Premium Customers
0268-QKIWO,2,New Budget Customers
0269-XFESX,2,New Budget Customers
0270-THENM,1,Loyal Premium Customers
0274-JKUJR,2,New Budget Customers
0277-BKSQP,3,Established Standard Customers
0277-ORXQS,0,Loyal Budget Customers
0278-YXOOG,2,New Budget Customers
0280-XJGEX,1,Loyal Premium Customers
0281-CNTZX,0,Loyal Budget Customers
0282-NVSJS,2,New Budget Customers
0285-INHLN,3,Established Standard Customers
0289-IVARM,3,Established Standard Customers
0292-WEGCH,1,Loyal Premium Customers
0295-PPHDO,3,Established Standard Customers
0295-QVKPB,3,Established Standard Customers
0297-RBCSG,3,Established Standard Customers
0298-XACET,1,Loyal Premium Customers
0301-FIDRB,1,Loyal Premium Customers
0301-KOBTQ,2,New Budget Customers
0302-JOIVN,3,Established Standard Customers
0303-UNCIP,3,Established Standard Customers
0303-WMMRN,2,New Budget Customers
0305-SQECB,2,New Budget Customers
0306-JAELE,3,Established Standard Customers
0307-BCOPK,2,New Budget Customers
0308-GIQJT,1,Loyal Premium Customers
0308-IVGOK,3,Established Standard Customers
0310-MVLET,1,Loyal Premium Customers
0310-SUCIN,1,Loyal Premium Customers
0310-VQXAM,2,New Budget Customers
0311-QYWSS,3,Established Standard Customers
0311-UNPFF,3,Established Standard Customers
0314-TKOSI,3,Established Standard Customers
0315-LVCRK,3,Established Standard Customers
0318-QUUOB,3,Established Standard Customers
0318-ZOPWS,0,Loyal Budget Customers
0319-QZTCO,3,Established Standard Customers
0320-DWVTU,1,Loyal Premium Customers
0320-JDNQG,3,Established Standard Customers
0322-CHQRU,2,New Budget Customers
0322-YINQP,3,Established Standard Customers
0323-XWWTN,2,New Budget Customers
0324-BRPCJ,1,Loyal Premium Customers
0325-XBFAC,3,Established Standard Customers
0326-VDYXE,1,Loyal Premium Customers
0327-WFZSY,1,Loyal Premium Customers
0328-GRPMV,3,Established Standard Customers
0329-GTIAJ,3,Established Standard Customers
0330-BGYZE,1,Loyal Premium Customers
0330-IVZHA,3,Established Standard Customers
0334-GDDSO,3,Established Standard Customers
0334-ZFJSR,1,Loyal Premium Customers
0336-KXKFK,1,Loyal Premium Customers
0336-PIKEI,1,Loyal Premium Customers
0337-CNPZE,1,Loyal Premium Customers
0343-QLUZP,0,Loyal Budget Customers
0345-HKJVM,3,Established Standard Customers
0345-XMMUG,1,Loyal Premium Customers
0347-UBKUZ,2,New Budget Customers
0348-SDKOL,1,Loyal Premium Customers
0354-VXMJC,2,New Budget Customers
0354-WYROK,1,Loyal Premium Customers
0356-ERHVT,2,New Budget Customers
0356-OBMAC,1,Loyal Premium Customers
0357-NVCRI,2,New Budget Customers
0361-HJRDX,0,Loyal Budget Customers
0362-RAOQO,0,Loyal Budget Customers
0362-ZBZWJ,3,Established Standard Customers
0363-QJVFX,1,Loyal Premium Customers
0363-SVHYR,1,Loyal Premium Customers
0365-BZUWY,3,Established Standard Customers
0365-GXEZS,3,Established Standard Customers
0365-TRTPY,3,Established Standard Customers
0366-NQSHS,2,New Budget Customers
0369-ZGOVK,3,Established Standard Customers
0373-AIVNJ,3,Established Standard Customers
0374-AACSZ,2,New Budget Customers
0374-FIUCA,0,Loyal Budget Customers
0374-IOEGQ,2,New Budget Customers
0375-HVGXO,2,New Budget Customers
0376-OIWME,1,Loyal Premium Customers
0376-YMCJC,3,Established Standard Customers
0377-JBKKT,3,Established Standard Customers
0378-CJKPV,1,Loyal Premium Customers
0378-NHQXU,3,Established Standard Customers
0378-TOVMS,3,Established Standard Customers
0378-XSZPU,1,Loyal Premium Customers
0379-DJQHR,1,Loyal Premium Customers
0380-NEAVX,1,Loyal Premium Customers
0380-ZCSBI,2,New Budget Customers
0383-CLDDA,1,Loyal Premium Customers
0384-LPITE,1,Loyal Premium Customers
0384-RVBPI,3,Established Standard Customers
0386-CWRGM,0,Loyal Budget Customers
0388-EOPEX,3,Established Standard Customers
0390-DCFDQ,3,Established Standard Customers
0392-BZIUW,1,Loyal Premium Customers
0394-YONDK,0,Loyal Budget Customers
0396-HUJBP,2,New Budget Customers
0396-UKGAI,3,Established Standard Customers
0396-YCHWO,1,Loyal Premium Customers
0397-GZBBC,1,Loyal Premium Customers
0397-ZXWQF,0,Loyal Budget Customers
0401-WDBXM,1,Loyal Premium Customers
0402-CQAJN,1,Loyal Premium Customers
0402-OAMEN,0,Loyal Budget Customers
0404-AHASP,0,Loyal Budget Customers
0404-SWRVG,3,Established Standard Customers
0406-BPDVR,1,Loyal Premium Customers
0407-BDJKB,1,Loyal Premium Customers
0409-WTMPL,1,Loyal Premium Customers
0410-IPFTY,3,Established Standard Customers
0411-EZJZE,3,Established Standard Customers
0412-UCCNP,1,Loyal Premium Customers
0415-MOSGF,2,New Budget Customers
0419-YAAPX,1,Loyal Premium Customers
0420-BWTPW,2,New Budget Customers
0420-HLGXF,1,Loyal Premium Customers
0420-TXVSG,1,Loyal Premium Customers
0422-OHQHQ,2,New Budget Customers
0422-UXFAP,1,Loyal Premium Customers
0423-UDIJQ,3,Established Standard Customers
0426-TIRNE,2,New Budget Customers
0428-AXXLJ,2,New Budget Customers
0428-IKYCP,3,Established Standard Customers
0430-IHCDJ,2,New Budget Customers
0431-APWVY,3,Established Standard Customers
0432-CAJZV,3,Established Standard Customers
0434-CSFON,1,Loyal Premium Customers
0436-TWFFZ,1,Loyal Premium Customers
0439-IFYUN,3,Established Standard Customers
0440-EKDCF,1,Loyal Premium Customers
0440-MOGPM,1,Loyal Premium Customers
0440-QEXBZ,0,Loyal Budget Customers
0440-UEDAI,1,Loyal Premium Customers
0442-TDYUO,0,Loyal Budget Customers
0442-ZXKVS,1,Loyal Premium Customers
0447-BEMNG,0,Loyal Budget Customers
0447-RXSGD,3,Established Standard Customers
0454-OKRCT,3,Established Standard Customers
0455-ENTCR,1,Loyal Premium Customers
0455-XFASS,3,Established Standard Customers
0458-HEUZG,2,New Budget Customers
0459-SPZHJ,1,Loyal Premium Customers
0461-CVKMU,3,Established Standard Customers
0463-TXOAK,0,Loyal Budget Customers
0463-WZZKO,2,New Budget Customers
0463-ZSDNT,3,Established Standard Customers
0464-WJTKO,0,Loyal Budget Customers
0468-YRPXN,1,Loyal Premium Customers
0471-ARVMX,1,Loyal Premium Customers
0471-LVHGK,1,Loyal Premium Customers
0475-RIJEP,3,Established Standard Customers
0479-HMSWA,1,Loyal Premium Customers
0480-BIXDE,3,Established Standard Customers
0480-KYJVA,0,Loyal Budget Customers
0481-SUMCB,1,Loyal Premium Customers
0484-FFVBJ,3,Established Standard Customers
0484-JPBRU,0,Loyal Budget Customers
0485-ZBSLN,0,Loyal Budget Customers
0486-HECZI,1,Loyal Premium Customers
0486-LGCCH,2,New Budget Customers
0487-CRLZF,1,Loyal Premium Customers
0487-RPVUM,1,Loyal Premium Customers
0487-VVUVK,2,New Budget Customers
0488-GSLFR,3,Established Standard Customers
0489-WMEMG,3,Established Standard Customers
0491-KAPQG,3,Established Standard Customers
0495-RVCBF,3,Established Standard Customers
0495-ZBNGW,2,New Budget Customers
0496-AHOOK,3,Established Standard Customers
0504-HHAPI,3,Established Standard Customers
0505-SPOOW,0,Loyal Budget Customers
0506-LVNGN,3,Established Standard Customers
0506-YLVKJ,0,Loyal Budget Customers
0508-OOLTO,3,Established Standard Customers
0508-SQWPL,0,Loyal Budget Customers
0511-JTEOY,3,Established Standard Customers
0512-FLFDW,1,Loyal Premium Customers
0513-RBGPE,3,Established Standard Customers
0515-YPMCW,3,Established Standard Customers
0516-OOHAR,1,Loyal Premium Customers
0516-QREYC,2,New Budget Customers
0516-UXRMT,1,Loyal Premium Customers
0516-VRYBW,2,New Budget Customers
0516-WJVXC,3,Established Standard Customers
0519-DRGTI,2,New Budget Customers
0519-XUZJU,3,Established Standard Customers
0520-FDVVT,1,Loyal Premium Customers
0523-VNGTF,1,Loyal Premium Customers
0524-IAVZO,3,Established Standard Customers
0526-SXDJP,0,Loyal Budget Customers
0529-ONKER,3,Established Standard Customers
0530-IJVDB,1,Loyal Premium Customers
0531-XBKMM,1,Loyal Premium Customers
0531-ZZJWQ,0,Loyal Budget Customers
0533-BNWKF,1,Loyal Premium Customers
0533-UCAAU,1,Loyal Premium Customers
0536-ACXIP,1,Loyal Premium Customers
0536-BGFMZ,2,New Budget Customers
0536-ESJEP,1,Loyal Premium Customers
0537-QYZZN,3,Established Standard Customers
0541-FITGH,3,Established Standard Customers
0547-HURJB,2,New Budget Customers
0549-CYCQN,1,Loyal Premium Customers
0550-DCXLH,3,Established Standard Customers
0556-FJEGU,1,Loyal Premium Customers
0557-ASKVU,3,Established Standard Customers
0559-CKHUS,2,New Budget Customers
0562-FGDCR,1,Loyal Premium Customers
0562-HKHML,0,Loyal Budget Customers
0562-KBDVM,1,Loyal Premium Customers
0564-JJHGS,3,Established Standard Customers
0564-MUUQK,3,Established Standard Customers
0565-IYCGT,1,Loyal Premium Customers
0565-JUPYD,1,Loyal Premium Customers
0567-GGCAC,3,Established Standard Customers
0567-XRHCU,1,Loyal Premium Customers
0568-ONFPC,2,New Budget Customers
0570-BFQHT,3,Established Standard Customers
0572-ZJKLT,1,Loyal Premium Customers
0575-CUQOV,1,Loyal Premium Customers
0576-WNXXC,3,Established Standard Customers
0577-WHMEV,3,Established Standard Customers
0578-SKVMF,3,Established Standard Customers
0580-PIQHM,1,Loyal Premium Customers
0581-BXBUB,3,Established Standard Customers
0581-MDMPW,3,Established Standard Customers
0582-AVCLN,0,Loyal Budget Customers
0584-BJQGZ,3,Established Standard Customers
0585-EGDDA,3,Established Standard Customers
0587-DMGBH,2,New Budget Customers
0594-UFTUL,2,New Budget Customers
0595-ITUDF,1,Loyal Premium Customers
0596-BQCEQ,1,Loyal Premium Customers
0599-XNYDO,3,Established Standard Customers
0601-WZHJF,3,Established Standard Customers
0602-DDUML,1,Loyal Premium Customers
0603-OLQDC,3,Established Standard Customers
0603-TPMIB,0,Loyal Budget Customers
0604-THJFP,1,Loyal Premium Customers
0607-DAAHE,0,Loyal Budget Customers
0607-MVMGC,1,Loyal Premium Customers
0608-JDVEC,0,Loyal Budget Customers
0611-DFXKO,3,Established Standard Customers
0612-RTZZA,2,New Budget Customers
0613-WUXUM,0,Loyal Budget Customers
0616-ATFGB,2,New Budget Customers
0617-AQNWT,1,Loyal Premium Customers
0617-FHSGK,0,Loyal Budget Customers
0618-XWMSS,3,Established Standard Customers
0619-OLYUR,1,Loyal Premium Customers
0620-DLSLK,3,Established Standard Customers
0620-XEFWH,2,New Budget Customers
0621-CXBKL,0,Loyal Budget Customers
0621-HJWXJ,1,Loyal Premium Customers
0621-JFHOL,2,New Budget Customers
0621-TSSMU,0,Loyal Budget Customers
0621-TWIEM,3,Established Standard Customers
0623-EJQEG,1,Loyal Premium Customers
0623-GDISB,3,Established Standard Customers
0623-IIHUG,2,New Budget Customers
0625-AFOHS,2,New Budget Customers
0626-QXNGV,0,Loyal Budget Customers
0628-CNQRM,3,Established Standard Customers
0634-SZPQA,3,Established Standard Customers
0635-WKOLD,1,Loyal Premium Customers
0637-KVDLV,3,Established Standard Customers
0637-UBJRP,3,Established Standard Customers
0637-YLETY,3,Established Standard Customers
0639-TSIQW,1,Loyal Premium Customers
0640-YJTPY,0,Loyal Budget Customers
0641-EVBOJ,3,Established Standard Customers
0643-OKLRP,3,Established Standard Customers
0644-OQMDK,3,Established Standard Customers
0650-BWOZN,3,Established Standard Customers
0654-HMSHN,3,Established Standard Customers
0654-PQKDW,1,Loyal Premium Customers
0655-RBDUG,3,Established Standard Customers
0655-YDGFJ,3,Established Standard Customers
0657-DOGUM,0,Loyal Budget Customers
0661-KBKPA,1,Loyal Premium Customers
0661-KQHNK,2,New Budget Customers
0661-WCQNQ,3,Established Standard Customers
0661-XEYAN,2,New Budget Customers
0665-XHDJU,1,Loyal Premium Customers
0666-UXTJO,3,Established Standard Customers
0667-NSRGI,1,Loyal Premium Customers
0668-OGMHD,2,New Budget Customers
0670-ANMUU,1,Loyal Premium Customers
0670-KDOMA,2,New Budget Customers
0673-IGUQO,2,New Budget Customers
0674-DGMAQ,3,Established Standard Customers
0674-EYYZV,3,Established Standard Customers
0674-GCDXG,1,Loyal Premium Customers
0675-NCDYU,1,Loyal Premium Customers
0678-RLHVP,1,Loyal Premium Customers
0679-IDSTG,3,Established Standard Customers
0679-TDGAK,1,Loyal Premium Customers
0680-DFNNY,3,Established Standard Customers
0682-USIXD,3,Established Standard Customers
0684-AOSIH,3,Established Standard Customers
0685-MLYYM,3,Established Standard Customers
0687-ZVTHB,1,Loyal Premium Customers
0689-DSXGL,1,Loyal Premium Customers
0689-NKYLF,3,Established Standard Customers
0690-SRQID,2,New Budget Customers
0691-IFBQW,1,Loyal Premium Customers
0691-JVSYA,1,Loyal Premium Customers
0691-NIKRI,1,Loyal Premium Customers
0696-UKTOX,3,Established Standard Customers
0697-ZMSWS,3,Established Standard Customers
0699-NDKJM,1,Loyal Premium Customers
0701-RFGFI,1,Loyal Premium Customers
0701-TJSEF,3,Established Standard Customers
0702-PGIBZ,3,Established Standard Customers
0704-VCUMB,0,Loyal Budget Customers
0707-HOVVN,1,Loyal Premium Customers
0708-LGSMF,3,Established Standard Customers
0708-SJDIS,3,Established Standard Customers
0709-TVGUR,3,Established Standard Customers
0716-BQNDX,1,Loyal Premium Customers
0719-SYFRB,3,Established Standard Customers
0722-SVSFK,3,Established Standard Customers
0722-TROQR,3,Established Standard Customers
0723-DRCLG,3,Established Standard Customers
0723-FDLAY,1,Loyal Premium Customers
0723-VSOBE,0,Loyal Budget Customers
0725-CXOTM,1,Loyal Premium Customers
0727-BMPLR,1,Loyal Premium Customers
0727-BNRLG,1,Loyal Premium Customers
0727-IWKVK,3,Established Standard Customers
0730-BGQGF,1,Loyal Premium Customers
0730-KOAVE,1,Loyal Premium Customers
0731-EBJQB,0,Loyal Budget Customers
0732-OCQOC,0,Loyal Budget Customers
0733-VUNUW,3,Established Standard Customers
0734-OXWBT,3,Established Standard Customers
0739-UUAJR,1,Loyal Premium Customers
0742-LAFQK,1,Loyal Premium Customers
0742-MOABM,3,Established Standard Customers
0742-NXBGR,3,Established Standard Customers
0743-HNPFG,1,Loyal Premium Customers
0743-HRVFF,1,Loyal Premium Customers
0744-BIKKF,1,Loyal Premium Customers
0744-GKNGE,1,Loyal Premium Customers
0746-JTRFU,2,New Budget Customers
0748-RDGGM,1,Loyal Premium Customers
0749-IRGQE,3,Established Standard Customers
0750-EBAIU,1,Loyal Premium Customers
0750-EKNGL,2,New Budget Customers
0754-EEBDC,2,New Budget Customers
0754-UKWQP,3,Established Standard Customers
0756-MPZRL,0,Loyal Budget Customers
0757-WCUUZ,1,Loyal Premium Customers
0761-AETCS,2,New Budget Customers
0769-MURVM,1,Loyal Premium Customers
0771-CHWSK,1,Loyal Premium Customers
0771-WLCLA,3,Established Standard Customers
0772-GYEQQ,3,Established Standard Customers
0774-IFUVM,3,Established Standard Customers
0774-RMNUW,1,Loyal Premium Customers
0778-NELLA,2,New Budget Customers
0780-XNZFN,0,Loyal Budget Customers
0781-LKXBR,3,Established Standard Customers
0784-GTUUK,0,Loyal Budget Customers
0784-ZQJZX,0,Loyal Budget Customers
0786-IVLAW,1,Loyal Premium Customers
0786-VSSUD,2,New Budget Customers
0787-LHDYT,2,New Budget Customers
0788-DXBFY,0,Loyal Budget Customers
0793-TWELN,3,Established Standard Customers
0794-YVSGE,0,Loyal Budget Customers
0795-GMVQO,1,Loyal Premium Customers
0795-LAFGP,1,Loyal Premium Customers
0795-XCCTE,0,Loyal Budget Customers
0799-DDIHE,2,New Budget Customers
0804-XBFBV,2,New Budget Customers
0804-YGEQV,0,Loyal Budget Customers
0807-ZABDG,3,Established Standard Customers
0810-BDHAW,3,Established Standard Customers
0810-DHDBD,1,Loyal Premium Customers
0811-GSDTP,2,New Budget Customers
0812-WUPTB,3,Established Standard Customers
0813-TAXXS,1,Loyal Premium Customers
0815-MFZGM,1,Loyal Premium Customers
0816-TSPHQ,2,New Budget Customers
0817-HSUSE,3,Established Standard Customers
0818-OCPZO,3,Established Standard Customers
0820-FNRNX,3,Established Standard Customers
0822-GAVAP,2,New Budget Customers
0822-QGCXA,1,Loyal Premium Customers
0823-HSCDJ,0,Loyal Budget Customers
0824-VWDPO,1,Loyal Premium Customers
0825-CPPQH,0,Loyal Budget Customers
0827-ITJPH,0,Loyal Budget Customers
0829-DDVLK,2,New Budget Customers
0829-XXPLX,3,Established Standard Customers
0831-JNISG,0,Loyal Budget Customers
0835-DUUIQ,2,New Budget Customers
0835-JKADZ,1,Loyal Premium Customers
0836-SEYLU,2,New Budget Customers
0839-JTCUD,1,Loyal Premium Customers
0839-QNXME,2,New Budget Customers
0840-DCNZE,1,Loyal Premium Customers
0840-DFEZH,3,Established Standard Customers
0841-NULXI,2,New Budget Customers
0842-IWYCP,0,Loyal Budget Customers
0843-WTBXE,1,Loyal Premium Customers
0847-HGRML,0,Loyal Budget Customers
0848-SOMKO,1,Loyal Premium Customers
0848-ZGQIJ,3,Established Standard Customers
0851-DFJKB,3,Established Standard Customers
0853-NWIFK,1,Loyal Premium Customers
0853-TWRVK,1,Loyal Premium Customers
0854-UYHZD,2,New Budget Customers
0856-NAOES,3,Established Standard Customers
0859-YGKFW,2,New Budget Customers
0862-PRCBS,1,Loyal Premium Customers
0864-FVJNJ,1,Loyal Premium Customers
0866-QLSIR,3,Established Standard Customers
0867-LDTTC,3,Established Standard Customers
0867-MKZVY,3,Established Standard Customers
0868-VJRDR,1,Loyal Premium Customers
0869-PAPRP,3,Established Standard Customers
0870-VEMYL,3,Established Standard Customers
0871-OPBXW,2,New Budget Customers
0871-URUWO,3,Established Standard Customers
0872-CASZJ,1,Loyal Premium Customers
0872-JCPIB,3,Established Standard Customers
0872-NXJYS,3,Established Standard Customers
0875-CABNR,3,Established Standard Customers
0876-WDUUZ,3,Established Standard Customers
0877-SDMBN,1,Loyal Premium Customers
0880-FVFWF,1,Loyal Premium Customers
0880-TKATG,3,Established Standard Customers
0883-EIBTI,2,New Budget Customers
0885-HMGPY,1,Loyal Premium Customers
0886-QGENL,3,Established Standard Customers
0887-HJGAR,2,New Budget Customers
0887-WBJVH,1,Loyal Premium Customers
0895-DQHEW,1,Loyal Premium Customers
0895-LMRSF,3,Established Standard Customers
0895-LNKRC,2,New Budget Customers
0895-UADGO,3,Established Standard Customers
0897-FEGMU,3,Established Standard Customers
0898-XCGTF,1,Loyal Premium Customers
0899-LIIBW,1,Loyal Premium Customers
0899-WZRSD,1,Loyal Premium Customers
0902-RFHOF,0,Loyal Budget Customers
0902-XKXPN,0,Loyal Budget Customers
0906-QVPMS,1,Loyal Premium Customers
0907-HQNTS,1,Loyal Premium Customers
0909-SDHNU,2,New Budget Customers
0909-SELIE,1,Loyal Premium Customers
0913-XWSCN,1,Loyal Premium Customers
0916-KNFAJ,1,Loyal Premium Customers
0916-QOFDP,3,Established Standard Customers
0917-EZOLA,1,Loyal Premium Customers
0921-OHLVP,3,Established Standard Customers
0923-PNFUB,3,Established Standard Customers
0924-BJCRC,1,Loyal Premium Customers
0925-VYDLG,3,Established Standard Customers
0927-CNGRH,2,New Budget Customers
0927-LCSMG,3,Established Standard Customers
0928-JMXNP,2,New Budget Customers
0928-XUTSN,3,Established Standard Customers
0929-HYQEW,3,Established Standard Customers
0929-PECLO,1,Loyal Premium Customers
0930-EHUZA,1,Loyal Premium Customers
0931-MHTEM,1,Loyal Premium Customers
0932-YIXYU,0,Loyal Budget Customers
0936-NQLJU,0,Loyal Budget Customers
0939-EREMR,3,Established Standard Customers
0939-YAPAF,1,Loyal Premium Customers
0940-OUQEC,3,Established Standard Customers
0942-KOWSM,1,Loyal Premium Customers
0943-ZQPXH,1,Loyal Premium Customers
0945-TSONX,1,Loyal Premium Customers
0946-CLJTI,1,Loyal Premium Customers
0946-FKYTX,0,Loyal Budget Customers
0947-IDHRQ,3,Established Standard Customers
0947-MUGVO,3,Established Standard Customers
0952-KMEEH,3,Established Standard Customers
0953-LGOVU,2,New Budget Customers
0956-ACVZC,1,Loyal Premium Customers
0956-SYCWG,2,New Budget Customers
0958-YHXGP,3,Established Standard Customers
0959-WHOKV,1,Loyal Premium Customers
0960-HUWBM,1,Loyal Premium Customers
0961-ZWLVI,1,Loyal Premium Customers
0962-CQPWQ,0,Loyal Budget Customers
0963-ZBDRN,1,Loyal Premium Customers
0967-BMLBD,2,New Budget Customers
0968-GSIKN,3,Established Standard Customers
0969-RGKCU,0,Loyal Budget Customers
0970-ETWGE,3,Established Standard Customers
0970-QXPXW,2,New Budget Customers
0971-QIFJK,0,Loyal Budget Customers
0973-KYVNF,1,Loyal Premium Customers
0975-UYDTX,1,Loyal Premium Customers
0975-VOOVL,2,New Budget Customers
0979-MOZQI,0,Loyal Budget Customers
0979-PHULV,1,Loyal Premium Customers
