Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Total_Services,Premium_Services,Streaming_Services,Has_Phone_And_Internet,Monthly_Charge_per_Service,Tenure_Years,Referrals_per_Tenure_Year,Long_Distance_Dependency,Is_New_Customer,Senior_Citizen,Offer_Offer_A,Offer_Offer_B,Offer_Offer_C,Offer_Offer_D,Offer_Offer_E,Internet_Type_DSL,Internet_Type_Fiber_Optic,Internet_Type_No_Internet,Contract_One_Year,Contract_Two_Year,Payment_Method_Credit_Card,Payment_Method_Mailed_Check,Customer_Status,Churn_Category,Churn_Reason
0017-DINOC,1,47,0,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,No Offer,0,0.0,0,1,Cable,10.0,1,0,0,1,1,0,0,1,Two Year,0,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,5,2,1,0,9.040000000000001,4.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Stayed,No Churn,No Churn
0017-IUDMW,0,25,1,2,Sunnyvale,94086,37.378541,-122.020456,2,72,No Offer,1,16.01,1,1,Fiber Optic,59.0,1,1,1,1,1,1,1,1,Two Year,1,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,10,4,3,1,11.68,6.0,0.3333333333333333,0.12054815149461638,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Stayed,No Churn,No Churn
0018-NYROU,0,58,1,0,Antelope,95843,38.715498,-121.363411,0,5,No Offer,1,18.65,0,1,Fiber Optic,10.0,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,3,0,0,1,22.983333333333334,0.4166666666666667,0.0,0.21289954337899544,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Stayed,No Churn,No Churn
0019-EFAEP,0,32,0,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,1,2.25,1,1,Fiber Optic,16.0,1,1,1,0,1,0,0,1,Two Year,1,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,7,3,1,1,14.471428571428572,6.0,0.0,0.02172863351038146,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Stayed,No Churn,No Churn
0019-GFNTW,0,39,0,0,Los Olivos,93441,34.70434,-120.02609,0,56,No Offer,0,0.0,0,1,DSL,19.0,1,1,1,1,0,0,0,1,Two Year,0,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,6,4,0,0,7.508333333333333,4.666666666666667,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Stayed,No Churn,No Churn
0020-INWCK,0,58,1,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,1,27.26,1,1,Fiber Optic,12.0,0,1,1,0,0,1,1,1,Two Year,1,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,7,2,2,1,13.678571428571429,5.916666666666667,1.5211267605633803,0.22160799934964637,0,0,1,0,0,0,0,0,1,0,0,1,1,0,Stayed,No Churn,No Churn
0020-JDNXP,0,52,1,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,No Offer,0,0.0,0,1,DSL,20.0,1,0,1,1,1,1,1,1,One Year,0,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,8,3,3,0,7.65625,2.8333333333333335,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,Stayed,No Churn,No Churn
0021-IKXGC,0,72,0,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,1,7.77,1,1,Fiber Optic,22.0,0,0,0,0,0,0,0,1,One Year,1,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,3,0,0,1,24.03333333333333,0.08333333333333333,0.0,0.09728308501314636,1,1,0,0,0,0,1,0,1,0,1,0,0,0,Joined,No Churn,No Churn
0022-TCJCI,1,79,0,0,Daly City,94015,37.680844,-122.48131,0,45,No Offer,1,10.67,0,1,DSL,17.0,1,0,1,0,0,1,0,1,One Year,0,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,6,2,1,1,10.450000000000001,3.75,0.0,0.1454272863568216,0,1,0,0,0,0,0,1,0,0,1,0,1,0,Churned,Dissatisfaction,Limited range of services
0023-HGHWL,1,67,0,0,Morgan Hill,95037,37.161544,-121.649371,0,1,No Offer,0,0.0,0,1,Cable,9.0,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,2,0,0,0,12.55,0.08333333333333333,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Churned,Competitor,Competitor made better offer
0023-UYUPN,0,79,1,0,Ahwahnee,93601,37.375816,-119.739935,0,50,No Offer,1,31.43,1,0,No Internet,0.0,0,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,1,0,0,0,25.2,4.166666666666667,0.0,0.5550061804697157,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Stayed,No Churn,No Churn
0023-XUOPT,0,26,1,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,No Offer,1,43.56,1,1,Fiber Optic,52.0,0,1,1,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,6,2,1,1,15.683333333333332,1.0833333333333333,0.9230769230769231,0.31643178846433245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Churned,Other,Don't know
0027-KWYKW,0,30,1,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,1,34.91,1,1,Fiber Optic,30.0,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,4,0,1,1,20.9375,1.9166666666666667,0.5217391304347826,0.29420192145626156,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Stayed,No Churn,No Churn
0030-FNXPP,0,22,0,0,Keeler,93530,36.560498,-117.962461,0,3,No Offer,1,3.12,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,19.85,57.2,0.0,0,9.36,66.56,1,0,0,0,19.85,0.25,0.0,0.13582934262080973,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Joined,No Churn,No Churn
0031-PVLZI,0,34,1,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,1,12.43,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.35,76.35,0.0,0,49.72,126.07,1,0,0,0,20.35,0.3333333333333333,0.0,0.3791946308724832,1,0,0,0,0,0,1,0,0,1,0,0,1,0,Churned,Price,Long distance charges
0032-PGELS,0,37,1,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,No Offer,0,0.0,0,1,DSL,19.0,1,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,3,1,0,0,10.166666666666666,0.08333333333333333,12.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Churned,Attitude,Attitude of service provider
0036-IHMOT,0,37,1,3,Parlier,93648,36.622237,-119.521126,10,55,No Offer,1,35.04,0,1,Fiber Optic,57.0,0,1,1,1,1,1,1,0,One Year,1,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,8,3,3,1,12.9625,4.583333333333333,2.181818181818182,0.25255874297246644,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Stayed,No Churn,No Churn
0040-HALCW,1,42,1,3,Modesto,95358,37.612612,-121.108568,3,54,No Offer,1,19.7,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,Two Year,0,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,1,0,0,0,20.4,4.5,0.6666666666666666,0.49127182044887785,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Stayed,No Churn,No Churn
0042-JVWOJ,1,64,0,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,1,37.7,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,One Year,1,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,1,0,0,0,19.6,2.1666666666666665,0.0,0.6579406631762653,0,1,0,0,1,0,0,0,0,1,1,0,0,0,Stayed,No Churn,No Churn
0042-RLHYP,0,47,1,3,Eureka,95503,40.737431,-124.108897,5,69,No Offer,1,38.39,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,Two Year,0,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,1,0,0,0,19.7,5.75,0.8695652173913043,0.6608710621449475,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Stayed,No Churn,No Churn
0048-LUMLS,1,23,1,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,1,43.01,0,1,Fiber Optic,51.0,0,0,0,0,1,1,1,1,One Year,0,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,6,0,3,1,15.200000000000001,3.0833333333333335,0.3243243243243243,0.3204679234036212,0,0,0,0,1,0,0,0,1,0,1,0,1,0,Stayed,No Churn,No Churn
0048-PIHNL,0,48,1,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,1,49.58,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,1,0,0,0,20.45,4.083333333333333,1.2244897959183674,0.7079822933028702,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Stayed,No Churn,No Churn
0052-DCKON,1,28,1,0,Los Angeles,90063,34.044271,-118.185237,9,66,No Offer,1,43.77,1,1,Fiber Optic,41.0,1,1,1,1,1,1,1,1,One Year,0,Bank Withdrawal,-2.0,7942.15,0.0,0,2888.82,10830.97,10,4,3,1,-0.2,5.5,1.6363636363636365,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Stayed,No Churn,No Churn
0052-YNYOT,0,28,0,0,Calexico,92231,32.690654,-115.431225,0,67,No Offer,1,23.12,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,One Year,0,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,1,0,0,0,20.55,5.583333333333333,0.0,0.5294252347149072,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Stayed,No Churn,No Churn
0056-EPFBG,1,33,1,1,Redding,96003,40.677649,-122.29467,4,20,No Offer,0,0.0,0,1,Cable,22.0,1,0,1,1,0,0,0,1,Two Year,1,Credit Card,39.4,825.4,0.0,0,0.0,825.4,5,3,0,0,7.88,1.6666666666666667,2.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Stayed,No Churn,No Churn
0057-QBUQH,0,31,0,3,San Martin,95046,37.084697,-121.606417,0,43,No Offer,1,30.64,1,0,No Internet,0.0,0,0,0,0,0,0,0,0,Two Year,1,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,1,0,0,0,25.1,3.5833333333333335,0.0,0.5496950125583064,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Stayed,No Churn,No Churn
0058-EVZWM,0,37,1,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,1,5.08,1,1,Fiber Optic,9.0,1,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,5,1,1,1,17.96,4.583333333333333,0.4363636363636364,0.053541315345699836,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Stayed,No Churn,No Churn
0060-FUALY,0,60,1,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,1,16.39,1,1,Fiber Optic,14.0,1,1,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,6,2,1,1,15.791666666666666,4.916666666666667,0.8135593220338982,0.14747165736908405,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Stayed,No Churn,No Churn
0064-SUDOG,0,48,1,3,Huntington Park,90255,33.97803,-118.217141,3,12,No Offer,1,19.28,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,Two Year,0,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,1,0,0,0,20.3,1.0,3.0,0.4871147043961597,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Stayed,No Churn,No Churn
0064-YIJGF,1,60,1,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,1,25.26,1,1,Fiber Optic,23.0,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,3,0,0,1,25.25,2.25,3.111111111111111,0.2500742500742501,0,1,0,0,1,0,0,0,1,0,0,0,0,0,Stayed,No Churn,No Churn
0067-DKWBL,1,69,0,0,San Diego,92129,32.961064,-117.134917,0,2,No Offer,1,43.99,0,1,DSL,27.0,1,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,4,1,0,1,12.3125,0.16666666666666666,0.0,0.47179322179322175,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Churned,Competitor,Competitor made better offer
0068-FIGTF,0,20,0,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,1,48.91,0,1,DSL,59.0,0,1,1,1,1,1,1,1,One Year,0,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,9,3,3,1,8.68888888888889,2.25,0.0,0.38478483203524505,0,0,0,0,1,0,0,1,0,0,1,0,1,0,Stayed,No Churn,No Churn
0071-NDAFP,1,31,1,3,Santa Rosa,95405,38.439696,-122.668817,1,25,No Offer,1,23.69,1,0,No Internet,0.0,0,0,0,0,0,0,0,0,Two Year,0,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,1,0,0,0,25.5,2.0833333333333335,0.48,0.4816019516161822,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Stayed,No Churn,No Churn
0074-HDKDG,1,46,1,0,San Jose,95126,37.327069,-121.916819,5,25,No Offer,1,6.45,0,1,Cable,19.0,1,1,1,0,0,0,0,1,One Year,1,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,6,3,0,1,10.266666666666667,2.0833333333333335,2.4,0.09478324761204997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stayed,No Churn,No Churn
0076-LVEPS,1,57,0,1,Tujunga,91042,34.296574,-118.244839,0,29,No Offer,0,0.0,0,1,DSL,21.0,1,1,1,1,0,0,0,1,Month-to-Month,1,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,6,4,0,0,7.5,2.4166666666666665,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Stayed,No Churn,No Churn
0078-XZMHT,1,19,1,0,Visalia,93291,36.391777,-119.372842,5,72,No Offer,1,32.36,1,1,DSL,52.0,0,1,1,1,1,1,1,1,Two Year,1,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,9,3,3,1,9.461111111111112,6.0,0.8333333333333334,0.2753808186537316,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Stayed,No Churn,No Churn
0080-EMYVY,0,64,0,0,Lodi,95240,38.123544,-121.159078,0,14,No Offer,1,24.04,0,1,Cable,12.0,0,1,0,0,0,0,0,1,One Year,0,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,4,1,0,1,12.8625,1.1666666666666667,0.0,0.3184527752020135,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Stayed,No Churn,No Churn
0080-OROZO,0,38,0,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,1,36.42,0,1,Fiber Optic,2.0,0,0,1,1,1,1,1,1,One Year,1,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,8,2,3,1,12.40625,2.9166666666666665,0.0,0.2684454927397361,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Stayed,No Churn,No Churn
0082-LDZUE,1,54,0,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,1,42.95,0,1,DSL,9.0,0,0,0,0,0,0,0,1,Month-to-Month,1,Credit Card,44.3,44.3,0.0,0,42.95,87.25,3,0,0,1,14.766666666666666,0.08333333333333333,0.0,0.4922636103151863,1,0,0,0,0,0,1,1,0,0,0,0,1,0,Joined,No Churn,No Churn
0082-OQIQY,1,50,0,0,Farmington,95230,37.956963,-120.863055,0,29,No Offer,1,2.05,0,1,Fiber Optic,17.0,0,0,0,1,1,1,1,0,Month-to-Month,1,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,6,1,3,1,15.700000000000001,2.4166666666666665,0.0,0.021298701298701296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Stayed,No Churn,No Churn
0083-PIVIK,1,25,0,0,Tulelake,96134,41.813521,-121.492666,0,64,No Offer,1,5.49,1,1,DSL,69.0,1,1,1,1,1,0,0,0,One Year,0,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,7,4,1,1,11.607142857142858,5.333333333333333,0.0,0.06329259857044041,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Stayed,No Churn,No Churn
0089-IIQKO,0,35,1,3,Coleville,96107,38.42528,-119.475741,1,39,No Offer,1,24.38,1,1,Fiber Optic,53.0,0,0,0,1,1,1,1,1,Month-to-Month,1,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,7,1,3,1,14.278571428571428,3.25,0.3076923076923077,0.19609104801737312,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Stayed,No Churn,No Churn
0093-EXYQL,0,72,0,0,Ojai,93023,34.581308,-118.931948,0,40,No Offer,1,44.14,0,1,Fiber Optic,23.0,0,0,0,0,1,1,0,1,Two Year,1,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,5,0,2,1,18.31,3.3333333333333335,0.0,0.3253003168988135,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Stayed,No Churn,No Churn
0093-XWZFY,1,51,0,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,No Offer,1,37.69,1,1,Fiber Optic,15.0,0,1,1,0,1,1,1,1,Month-to-Month,1,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,8,2,3,1,13.0625,3.3333333333333335,0.0,0.2650678669386033,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Churned,Competitor,Competitor had better devices
0094-OIFMO,0,78,0,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,1,11.59,0,1,Fiber Optic,29.0,0,1,0,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,5,1,2,1,19.0,0.9166666666666666,0.0,0.10873440285204991,0,1,0,0,0,1,0,0,1,0,0,0,0,0,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,0,30,1,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,1,42.66,1,1,Cable,85.0,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,3,0,0,1,16.783333333333335,0.5,20.0,0.4586603591011719,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Stayed,No Churn,No Churn
0096-FCPUF,1,58,0,0,Santa Rosa,95404,38.526941,-122.709096,0,30,No Offer,1,2.64,1,1,DSL,15.0,1,0,0,0,0,1,1,1,Month-to-Month,1,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,6,1,2,1,10.75,2.5,0.0,0.03932082216264522,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Stayed,No Churn,No Churn
0098-BOWSO,1,26,0,0,San Jose,95131,37.387027,-121.897775,0,27,No Offer,1,20.66,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,1,0,0,0,19.4,2.25,0.0,0.5157264103844234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Stayed,No Churn,No Churn
0100-DUVFC,1,66,1,0,Wilmington,90744,33.782068,-118.262263,3,70,No Offer,1,39.49,1,1,Fiber Optic,28.0,0,1,1,0,1,1,0,1,One Year,1,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,7,2,2,1,14.971428571428572,5.833333333333333,0.5142857142857143,0.27368494005128563,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Stayed,No Churn,No Churn
0103-CSITQ,0,20,1,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,1,8.01,1,1,Fiber Optic,73.0,0,1,1,1,1,1,1,1,One Year,1,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.27,9,3,3,1,12.155555555555557,4.75,2.1052631578947367,0.06822246827357124,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Stayed,No Churn,No Churn
0104-PPXDV,1,61,1,0,San Diego,92113,32.697098,-117.116587,10,58,No Offer,1,18.37,0,1,DSL,18.0,0,0,1,0,0,0,0,1,One Year,0,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,4,1,0,1,12.575,4.833333333333333,2.0689655172413794,0.26751128585990974,0,1,0,0,0,0,0,1,0,0,1,0,1,0,Stayed,No Churn,No Churn
0106-GHRQR,1,24,0,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,No Offer,1,25.71,1,1,DSL,48.0,0,1,1,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,7,2,2,1,10.200000000000001,1.3333333333333333,0.0,0.264751312944084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Stayed,No Churn,No Churn
0106-UGRDO,0,55,1,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,1,38.52,1,1,Fiber Optic,27.0,1,1,1,1,1,1,1,1,Two Year,1,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,10,4,3,1,11.6,5.75,0.5217391304347826,0.2492881180429718,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Stayed,No Churn,No Churn
0107-WESLM,1,32,0,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,1,31.77,0,0,No Internet,0.0,0,0,0,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,1,0,0,0,19.85,0.08333333333333333,0.0,0.615459124370399,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Churned,Attitude,Attitude of support person
